ds,yhat,yhat_lower,yhat_upper,yhat_int
2026-03-01,1.5375439638959292,0.459935146176909,2.6151527816149494,2
2026-04-01,1.5540337170181944,0.4762791889677789,2.63178824506861,2
2026-05-01,1.570700318389627,0.49279695817729174,2.6486036786019627,2
2026-06-01,1.5875456646610144,0.509490284013401,2.6656010453086276,2
2026-07-01,1.6045716728242219,0.5263610156300271,2.6827823300184166,2
2026-08-01,1.6217802804303472,0.543411021316732,2.700149539543962,2
2026-09-01,1.6391734458102118,0.5606421886901862,2.7177047029302375,2
2026-10-01,1.6567531482972184,0.5780564248874434,2.7354498717069937,2
2026-11-01,1.6745213884525978,0.5956556567610436,2.753387120144152,2
2026-12-01,1.6924801882930718,0.6134418310759546,2.771518545510189,2
2027-01-01,1.710631591520958,0.6314169147083766,2.789846268333539,2
2027-02-01,1.7289776637567418,0.6495828948464162,2.8083724326670674,2
2027-03-01,1.747520492774143,0.6679417791926592,2.827099206355627,2
2027-04-01,1.7662621887377032,0.6864955961686492,2.8460287813067575,2
2027-05-01,1.785204884442922,0.7052463951212953,2.865163373764549,2
2027-06-01,1.8043507355589674,0.7241962465312239,2.884505224586711,2
2027-07-01,1.8237019208739902,0.7433472422230949,2.9040565995248855,2
2027-08-01,1.843260642543069,0.7627014955778983,2.92381978950824,2
2027-09-01,1.8630291263388148,0.7822611417472516,2.9437971109303778,2
2027-10-01,1.8830096219046613,0.8020283378697146,2.9639909059396077,2
2027-11-01,1.9032044030108746,0.8220052632891419,2.984403542732607,2
2027-12-01,1.9236157678133068,0.8421941197750951,3.0050374158515183,2
2028-01-01,1.9442460391149248,0.8625971317453265,3.025894946484523,2
2028-02-01,1.9650975646301438,0.8832165464903639,3.046978582769924,2
2028-03-01,1.986172717251997,0.9040546344002098,3.0682908001037843,2
2028-04-01,2.007473895322168,0.925113689193177,3.089834101451159,2
2028-05-01,2.029003522903923,0.9463960281468846,3.1116110176609615,2
2028-06-01,2.050764050057966,0.967903992331429,3.1336241077845024,2
2028-07-01,2.072757953121255,0.989639946844761,3.155875959397749,2
2028-08-01,2.094987734988809,1.0116062810502795,3.1783691889273387,2
2028-09-01,2.117455925398535,1.0338054088166748,3.2011064419803956,2
2028-10-01,2.1401650812191115,1.0562397687600353,3.2240903936781877,2
2028-11-01,2.163117786740958,1.0789118244882474,3.2473237489936686,2
2028-12-01,2.1863166539703265,1.1018240648477076,3.2708092430929456,2
2029-01-01,2.2097643229265476,1.1249790041723737,3.2945496416807214,2
2029-02-01,2.233463461942461,1.1483791825351755,3.3185477413497466,2
